"date","dow","death","pm10tmean","pm25tmean","o3tmean","so2tmean","no2tmean","cotmean","tmpd","dptp","rhum"
1987-04-26,"Sunday",102,16.566455696,NA,8.8295304221,4.3489039999,7.594703636,96.290961676,57,33.875,38.75
1987-04-27,"Monday",107,-0.260716437,NA,12.300035717,3.2457273925,3.0392939996,-17.30939878,56.5,31.625,42.875
1987-04-28,"Tuesday",118,30.566455696,NA,-1.234668577,-0.480721883,7.2407133301,45.460985145,53.5,28.625,28.875
1987-04-29,"Wednesday",110,19.566455696,NA,10.813233492,-0.285958707,-0.132814288,-316.1427321,64.5,34.625,47.5
1987-04-30,"Thursday",101,-22.4335443,NA,11.555027117,-4.961432201,-6.396914797,-279.3153755,46,16.625,31.25
1987-05-01,"Friday",117,24.566455696,NA,-3.667997347,6.6576861934,19.937891815,397.89563209,53.5,39,54.5
1987-05-02,"Saturday",123,-11.4335443,NA,1.4145309397,-3.517665446,4.4325452437,39.626532878,53,47.375,87.25
1987-05-03,"Sunday",110,-16.38195511,NA,3.9222862771,-5.803917201,-7.621134553,-41.48385517,45,35,71.5
1987-05-04,"Monday",108,-15.4335443,NA,7.3210527579,-3.556238964,-2.612006186,-195.2582182,48,29.375,47.75
1987-05-05,"Tuesday",134,18.566455696,NA,-0.543931216,6.5207812382,15.174922465,385.3629436,50.5,32.625,53.625
1987-05-06,"Wednesday",131,NA,NA,8.0382851449,6.9448324664,26.052033049,996.01542177,58,40.125,39.625
1987-05-07,"Thursday",126,-0.433544304,NA,6.2914401604,0.252542244,3.5630527489,58.667716288,59.5,40.875,51.25
1987-05-08,"Friday",108,12.566455696,NA,-6.644286457,2.1671891174,12.811014916,312.69930795,59,33.375,32.25
1987-05-09,"Saturday",112,20.754675433,NA,19.72321624,4.9662971129,-2.967650445,-305.933733,69.5,43.75,31.875
1987-05-10,"Sunday",116,NA,NA,20.146585987,2.9285924171,-4.724594889,-421.3993141,74.5,51.5,41.375
1987-05-11,"Monday",131,39.566455696,NA,21.448854494,3.9863134528,-0.648834764,-283.3707165,71,58,72.75
1987-05-12,"Tuesday",123,-29.4335443,NA,1.9091937836,-4.667944252,-9.022019802,-179.787809,51.5,32.75,54.25
1987-05-13,"Wednesday",104,-21.4335443,NA,3.1510866922,6.5815992369,8.6683657199,68.418499153,59,53,57.125
1987-05-14,"Thursday",123,NA,NA,15.686057948,1.5357415573,4.1431586506,-7.831500847,69,53.375,59.25
1987-05-15,"Friday",105,-14.91560326,NA,0.6956971994,-3.096491572,-6.474626223,-113.7068005,56.5,33.875,44.375
1987-05-16,"Saturday",108,5.5664556962,NA,8.4281302499,-1.926480047,2.7757069597,74.22952407,62.5,42.625,35.125
1987-05-17,"Sunday",123,21.566455696,NA,27.05231321,-0.286370181,-2.512034586,-370.8248238,70.5,63.625,66
1987-05-18,"Monday",134,NA,NA,1.6998713534,-2.777829873,2.3875214448,198.21016582,66.5,57.625,94.5
1987-05-19,"Tuesday",101,0.5664556962,NA,2.9390341381,-2.946733118,2.8541099505,169.74786423,67.5,61.125,85.625
1987-05-20,"Wednesday",114,5.5664556962,NA,-8.082201351,-1.450369554,-3.463411628,209.39072137,66.5,59.75,88.125
1987-05-21,"Thursday",125,8.1586013876,NA,9.9690214748,-1.38199654,0.8219960781,2.3073880415,74,66.75,61
1987-05-22,"Friday",111,NA,NA,-11.40728832,-3.104218762,-11.8295178,-499.683733,61.5,49.75,76.25
1987-05-23,"Saturday",107,-28.4335443,NA,-12.85638613,-4.366216625,-13.02302917,-387.3210313,51,45.625,86.875
1987-05-24,"Sunday",105,NA,NA,-4.205070387,-4.326440984,-15.43338271,-495.7048697,50.5,45.125,81
1987-05-25,"Monday",115,8.5664556962,NA,-10.4089537,-2.782050385,-5.238938261,-219.0937586,57.5,62.875,95.375
1987-05-26,"Tuesday",106,-13.4335443,NA,6.1463720046,-1.368107651,0.3214132166,-128.2481675,73,67.625,68.625
1987-05-27,"Wednesday",113,5.2256011578,NA,7.3787662809,-1.503208661,-1.781847653,-290.7948441,78.5,67.375,68.625
1987-05-28,"Thursday",104,7.5664556962,NA,5.7382730332,-0.929740916,4.8147470923,-179.0315591,78.5,65.75,67.625
1987-05-29,"Friday",106,8.5664556962,NA,2.9308496142,0.49018662,9.3017009447,-30.23928854,78.5,67.125,71.125
1987-05-30,"Saturday",115,-6.433544304,NA,-1.450136134,-1.243107651,6.7307315623,-10.21492037,76,65.625,79.5
1987-05-31,"Sunday",102,-9.433544304,NA,8.2187626756,-2.065368936,-3.809544857,-559.7957866,76,60.125,57.75
1987-06-01,"Monday",112,-11.4335443,NA,10.977811399,-2.395885429,1.5871987802,-15.21403602,74.5,68.5,71.875
1987-06-02,"Tuesday",111,-3.076225877,NA,-5.002219467,-0.020298248,10.447398229,70.026830747,72,64.75,95.25
1987-06-03,"Wednesday",120,0.5664556962,NA,-0.37572121,-2.28878564,-3.496540839,-206.9201746,69,47.25,47.125
1987-06-04,"Thursday",103,3.5664556962,NA,-2.916312847,-0.995924491,0.205870598,206.41315875,63,45,49.125
1987-06-05,"Friday",98,19.566455696,NA,9.2588843699,-0.877288674,10.28755007,-22.26706632,70,54.875,61.625
1987-06-06,"Saturday",101,15.566455696,NA,19.942356923,2.4791145715,8.7818310289,-98.66483418,71,54.625,48.5
1987-06-07,"Sunday",102,4.5664556962,NA,27.051731923,0.8809798459,-7.277738825,-488.4981675,77.5,58.125,45.75
1987-06-08,"Monday",143,12.991934721,NA,25.487873228,0.5651716436,-0.969431597,-87.27594529,74.5,60.25,76.75
1987-06-09,"Tuesday",88,-26.4335443,NA,6.2818459851,-6.157540653,-9.571209045,-243.589961,57.5,41.125,56.5
1987-06-10,"Wednesday",106,8.5664556962,NA,5.3568006952,-1.05064714,4.7286701822,-42.89239681,61,51,55.125
1987-06-11,"Thursday",96,4.5664556962,NA,4.4259743475,2.3498836615,7.0427798627,-78.95680046,72.5,68.75,90.375
1987-06-12,"Friday",117,-0.433544304,NA,5.4687581775,-3.32462939,-2.750238649,34.845266829,80,62,54.125
1987-06-13,"Saturday",97,31.566455696,NA,16.211277117,2.3310446595,10.107041448,329.27620065,77,62,50.25
1987-06-14,"Sunday",146,6.1756153283,NA,22.045659391,2.8474720594,1.6809775765,65.067567713,83,68.5,54.125
1987-06-15,"Monday",120,-13.4335443,NA,9.8138586386,-4.088949611,-2.912849748,21.600685893,73.5,48.5,44.625
1987-06-16,"Tuesday",109,4.5664556962,NA,9.3032910058,2.4624088422,6.0211610054,174.17333007,75,52.875,47.5
1987-06-17,"Wednesday",112,29.566455696,NA,31.134903507,5.5743528601,22.526914689,639.94627693,77,61,48
1987-06-18,"Thursday",132,48.566455696,NA,39.597714438,7.2707812382,18.223708115,275.90431066,80.5,62.75,47.5
1987-06-19,"Friday",106,38.566455696,NA,24.011598046,2.6722418589,25.582041448,181.10368434,77.5,61.375,48.625
1987-06-20,"Saturday",122,22.842281995,NA,22.515986978,-0.674051341,5.5575033157,-27.87817743,77,73.625,99.625
1987-06-21,"Sunday",112,0.5664556962,NA,9.5365823814,-2.884196268,-7.206739285,-513.7068005,76,71.125,82.625
1987-06-22,"Monday",117,10.566455696,NA,1.7350242581,-3.982447211,-0.641487612,149.51688375,67,59,72.25
1987-06-23,"Tuesday",100,7.5664556962,NA,9.0556227264,-1.034774317,15.87084618,569.1008663,72.5,57.75,56.625
1987-06-24,"Wednesday",108,21.566455696,NA,25.939945311,3.5068923493,17.376725159,729.81092661,76,65.75,60
1987-06-25,"Thursday",126,11.566455696,NA,9.9251179392,-0.168904289,2.7481257677,168.57316437,70.5,62,76.25
1987-06-26,"Friday",105,-6.793351804,NA,-3.047956188,-3.645065833,-4.806927312,-87.4416695,69,50.75,51.375
1987-06-27,"Saturday",111,-5.433544304,NA,-1.829206188,-4.020885429,-10.16803411,-200.869452,64.5,48.25,54.375
1987-06-28,"Sunday",122,-7.433544304,NA,8.0073934392,-2.606634221,-9.041451649,-148.9140149,72,53.625,44.625
1987-06-29,"Monday",108,1.5664556962,NA,4.1301960173,0.6060055969,0.0578436919,-161.3003785,72.5,66,84.375
1987-06-30,"Tuesday",106,1.5664556962,NA,-4.671513022,-1.90699654,2.7951258279,-16.15930707,70.5,63,81.875
1987-07-01,"Wednesday",104,-19.4335443,NA,9.5449296132,-4.798663206,-6.851483058,-213.1611187,68.5,60.625,74.25
1987-07-02,"Thursday",120,7.3026900576,NA,13.051024857,-0.142389138,3.5623504624,80.115396486,71,60.25,57.625
1987-07-03,"Friday",112,6.5664556962,NA,19.409611323,-1.783954722,-6.071817111,-220.4457199,77.5,60.375,61.25
1987-07-04,"Saturday",101,-17.4335443,NA,8.7245590165,-4.164520879,-11.88773475,-122.9295104,72.5,59.5,65.25
1987-07-05,"Sunday",114,NA,NA,-0.534587481,-3.451154892,-9.496872659,-259.3226904,72.5,69.125,91.625
1987-07-06,"Monday",113,-8.398734177,NA,8.1282610968,-2.840646529,-2.179043253,161.47523713,80,69,64
1987-07-07,"Tuesday",119,NA,NA,10.632395613,-1.756729671,-1.321087535,-154.3111939,80,69.125,64.75
1987-07-08,"Wednesday",126,1.7904072017,NA,7.7553807765,-0.483659831,-1.713096043,-180.0243975,80.5,69.25,59.625
1987-07-09,"Thursday",108,-10.53312303,NA,1.7149664231,-2.913863411,-4.767213777,-364.6904737,80.5,67.625,80.375
1987-07-10,"Friday",95,-8.694006309,NA,-0.063206854,-2.856333372,-4.370778183,-173.1634322,80,67.625,87
1987-07-11,"Saturday",125,37.252365931,NA,5.3812838924,-3.746119585,-8.676048893,-368.6224995,80,73.5,65.125
1987-07-12,"Sunday",119,5.2523659306,NA,6.0037524729,-3.744742804,-13.04216191,-542.3043244,79.5,65.5,67.25
1987-07-13,"Monday",77,-8.80126183,NA,-13.48217604,-3.905862764,-7.719035836,-98.36974316,64.5,58.75,79.5
1987-07-14,"Tuesday",113,-14.40100071,NA,-1.576351008,-1.87616765,-5.350136514,-68.38033292,67,53,58.375
1987-07-15,"Wednesday",110,-24.84858044,NA,-0.598751402,-2.934767534,-5.323313843,-228.760699,63,54.375,77.5
1987-07-16,"Thursday",108,-15.13656925,NA,8.7241747944,-1.667455454,-5.352804494,-223.2465602,65.5,58.625,60.375
1987-07-17,"Friday",102,-2.845425868,NA,18.944045015,-2.823573065,-0.491782171,-374.2640305,78,67,59
1987-07-18,"Saturday",110,9.0977917981,NA,24.115908639,-2.749541915,-7.281645854,-526.1171662,79.5,68.375,61.375
1987-07-19,"Sunday",129,30.147798742,NA,23.340185891,-1.591292053,-12.13910431,-666.4858705,84.5,73.625,64
1987-07-20,"Monday",140,28.807469567,NA,17.339816729,-1.37020867,-5.578405443,-255.1207719,81.5,67.625,75.625
1987-07-21,"Tuesday",105,16.116719243,NA,34.970011376,1.2019189338,11.881305286,194.81146815,81,71.25,68.75
1987-07-22,"Wednesday",110,56.154574132,NA,21.523797164,1.5396812232,10.780187461,-59.79731285,80.5,69.625,63.125
1987-07-23,"Thursday",121,75.1829653,NA,35.090240793,2.0408006639,1.5615976144,-192.1405123,82,70,61.25
1987-07-24,"Friday",110,38.873522964,NA,11.631720204,1.5532966617,-1.20825918,-295.4075772,83,71.25,64.75
1987-07-25,"Saturday",115,11.356466877,NA,19.604238607,-0.644990897,-2.547315427,-221.604241,84.5,71.125,66.5
1987-07-26,"Sunday",105,-5.700178793,NA,3.757057543,-1.407673183,-5.375519475,-297.0046945,78.5,66.25,82.125
1987-07-27,"Monday",112,-9.581761006,NA,-8.330725369,-0.860713673,7.6927632561,259.21456675,71,62.625,68.125
1987-07-28,"Tuesday",109,-3.004237288,NA,-3.750375272,0.0153784011,7.3029382319,62.31520358,72.5,63.25,65.125
1987-07-29,"Wednesday",125,-16.5408805,NA,0.8867512672,-1.472385508,9.7334053,99.089491476,78,70.25,80
1987-07-30,"Thursday",92,33.468553459,NA,26.611237672,-2.28866098,4.082633037,-53.78218127,79.5,72.375,74.375
1987-07-31,"Friday",110,6.4622641509,NA,14.647055196,-2.385781471,1.7602694545,-43.58668144,80.5,75.75,80.5
1987-08-01,"Saturday",113,20.944949561,NA,15.679003639,-3.14494289,-5.841023384,-284.7144872,87,75.25,64
1987-08-02,"Sunday",115,4.5566037736,NA,22.885333446,-2.177644289,-10.03462402,-395.9354025,86,73.875,73.5
1987-08-03,"Monday",137,12.645768025,NA,6.5093456549,-0.797840041,3.7423137331,294.43146251,83,68.625,64.875
1987-08-04,"Tuesday",112,-20.28840125,NA,-2.318469738,-2.032262974,-12.00687412,-311.9032803,75,60.625,69.25
1987-08-05,"Wednesday",126,-26.20689655,NA,-3.02427102,-3.170799535,-14.32507028,-365.1735285,72,55.75,59.625
1987-08-06,"Thursday",111,8.7586206897,NA,5.7942548601,-1.589522275,7.9980600823,168.57203114,72,62.125,58
1987-08-07,"Friday",95,14.785080976,NA,21.452775411,0.051191147,2.1599965178,-113.7668189,79.5,67.375,66.625
1987-08-08,"Saturday",113,14.937304075,NA,-0.331578712,-2.294490042,-1.49525061,-301.8053556,73.5,73.625,96.25
1987-08-09,"Sunday",107,-12.02507837,NA,2.633332411,-1.014752736,-15.0722108,-654.3986582,72.5,64.125,78
1987-08-10,"Monday",96,-17.03125,NA,6.1986860123,-3.064601175,-5.986638491,-175.2929858,71,63.125,75.25
1987-08-11,"Tuesday",98,-0.040625,NA,10.103830372,0.24821643,1.2097357335,-235.4066501,74.5,61.875,65.125
