Y X1 X2 X3 X4
1 0.01 0.67 -0.55 -0.63
2 -1.41 -1.08 -0.57 -0.56
1 1.08 1.08 -0.11 -0.16
2 -2.23 -1.29 1.21 1.14
2 -0.69 -1.16 -1.54 -1.5
3 0.85 0.39 0.53 0.65
1 1.59 0.54 0.22 0.44
2 -1.92 -1.27 1.01 1.11
1 0.94 0.17 -0.26 -0.34
3 0.67 -0.04 0.5 0.24
3 -0.09 0.02 0.28 0.26
2 -1.07 -0.09 -0.65 -0.43
2 -0.89 -0.69 1.25 1.16
3 0.79 -0.51 1.08 1.24
1 1.39 0.83 0.69 0.71
2 -1.14 -1.6 1.61 1.55
2 -2.09 0.15 0.59 0.52
1 1.52 1.5 -1.26 -1.29
2 -0.88 -1.35 -0.59 -0.55
2 -2.86 -1.98 -1.28 -1.17
3 -0.17 0.2 -0.4 -0.54
1 0.44 0.2 -0.66 -0.57
3 0.08 -0.05 -0.06 0.14
2 -0.43 -1.18 -0.9 -0.92
1 0.27 0.37 0.12 0.2
3 -0.18 -0.15 -0.65 -0.66
2 1.27 0.43 1.84 1.68
3 0.3 0.26 0.72 0.71
3 0.14 1.14 0.92 0.9
2 -0.05 0.65 0.34 0.43
3 0.68 0.08 1.74 1.62
1 1 0.4 -0.64 -0.63
2 -1.84 -2.38 -0.35 -0.57
2 0.69 0.27 1.41 1.45
2 -0.8 -1.68 -0.56 -0.74
1 0.17 0.5 -0.29 -0.12
1 1.76 0.67 -0.45 -0.33
2 -0.93 0.11 -0.3 -0.34
2 -0.45 -1.04 -0.38 -0.18
1 -0.23 0.07 0.58 0.41
1 1.74 1.19 -0.19 -0.16
3 0.05 0.14 -0.53 -0.48
3 -0.05 0.32 1.37 1.31
2 -0.48 -0.52 -0.24 -0.18
2 -0.37 -0.61 -0.14 -0.22
3 -0.13 -0.13 -0.07 -0.13
2 -1.54 -1.39 0.75 0.67
1 0.79 1.48 -0.03 -0.12
3 0.15 -0.77 -0.11 0.03
2 -1.83 -1.86 -0.57 -0.79
3 0.09 -0.12 -0.32 -0.33
3 0.3 -0.74 0.04 0.08
2 -0.99 -2.31 -0.58 -0.6
1 2.49 1.29 0.42 0.64
2 -1.15 -0.91 -1.53 -1.5
2 -0.99 -1.5 0.27 0.34
1 1.05 -0.22 -1.36 -1.71
3 0.44 1.46 -0.18 -0.42
3 -0.71 0.35 -0.5 -0.55
1 0.26 0.16 -0.68 -0.62
2 -1.25 -0.79 0 -0.11
1 1.72 0.04 -1.92 -1.9
3 0.77 -0.2 1.2 1.15
3 -0.94 1.13 -1.75 -1.57
2 0.04 1.33 -0.29 -0.64
1 1.25 0.59 -1.01 -1.22
2 -0.53 -0.82 -0.74 -0.76
3 1.27 -0.38 2.08 2.08
2 -0.83 -0.99 -0.04 0.08
1 2.77 1.34 -1.28 -1.28
1 -0.34 1.18 -1.65 -1.63
3 -0.45 0.38 0.45 0.45
2 -0.39 -0.52 0.02 -0.05
3 -0.39 -0.01 -0.28 -0.35
2 -1.33 -0.7 -0.79 -1.07
1 -0.4 0.52 -1.46 -1.51
1 0.33 0.75 -1.05 -1.09
3 -1.08 0.13 0.97 1.03
2 -1.01 -0.49 -0.61 -0.63
2 -1.15 -1.86 -1.45 -1.31
3 0.23 0.82 1.82 1.91
3 0.66 -0.05 0.49 0.36
3 -0.07 -0.32 -0.27 -0.2
2 -0.35 -0.66 1.06 1.05
3 -0.59 1.07 0.86 0.91
2 -2.01 -0.53 -0.61 -0.63
2 -1.3 -1.41 2.15 2.25
2 -0.65 -2.01 -0.19 -0.32
3 0.03 -0.7 -1.4 -1.44
3 0.68 0.77 -0.13 -0.16
1 1.15 0.17 0.13 0.28
2 -0.57 -0.47 2.34 2.27
1 1.3 1.31 0.08 0.13
2 -0.46 -1.65 0.62 0.3
2 -0.91 0.01 0.07 -0.22
2 -0.73 -0.62 -0.32 -0.35
3 -0.19 0.48 -0.11 0.04
2 -1.83 -1.4 0.84 0.73
3 0.46 1.72 2.11 2.03
1 1.16 1.07 0.98 1.07
3 1.28 0.52 1.31 1.1
1 -0.11 -0.04 -1.26 -1.2
1 0.95 1.18 0.91 1.05
1 0.69 0.21 0.29 0.15
1 1.41 0.36 -1.45 -1.48
3 0.55 -0.22 0.43 0.61
1 0.58 -0.04 -0.2 -0.11
2 -1.4 -2.5 1.41 1.51
2 -0.88 -0.11 -0.83 -0.7
1 0.91 0.96 -0.37 -0.49
1 0.46 -0.27 -0.93 -0.92
2 -1.35 -0.89 -0.02 -0.33
2 -0.61 -1.16 0.44 0.36
2 -0.48 -0.55 -0.64 -0.82
1 2.36 1.56 0.9 0.75
3 -0.88 0.55 -1.21 -1.2
2 -0.47 -0.72 -1.03 -1.06
2 -1.53 -2.33 1.54 1.33
2 -1.54 -1.97 -1 -1.03
1 1.68 0.57 0.37 0.45
2 -0.81 -0.76 -0.34 -0.42
3 1.45 1.54 0.41 0.41
3 0.03 -0.64 1.72 1.64
2 -2.22 -2.07 1.63 1.53
1 2.57 1.47 -0.24 -0.42
3 -0.19 -1.8 -2.28 -2.27
3 -0.69 -0.25 2.47 2.51
3 -0.33 0.51 0.78 0.55
3 0.4 -0.62 0.57 0.51
2 -1.12 -1.68 -0.06 0.03
2 -1.11 -1.67 0.5 0.52
1 0.91 1.66 -0.19 -0.14
2 -0.59 -0.72 0.38 0.46
1 1.17 0.35 -0.51 -0.28
1 1.43 1.72 -1.3 -1.44
1 -0.59 -0.85 0.87 1.1
2 -1.55 0.25 1.57 1.47
2 -1.38 -2.3 -0.43 -0.19
1 1.21 2.29 -1.39 -1.11
2 -1.31 -0.08 0.58 0.71
3 0.16 -0.85 -0.02 -0.07
2 -0.97 -1.54 -1.65 -1.81
3 0.46 0.91 0.07 -0.07
1 1.32 1.65 -0.73 -0.52
3 0.56 -0.14 -0.3 -0.38
1 0.05 -0.79 -1.15 -1.16
2 -1.56 -1.52 1.82 1.78
1 1.11 1.63 -0.41 -0.25
1 0.48 0.79 -1.68 -1.52
3 0.13 -0.21 0.29 0.1
1 1.04 1.18 0.27 0.25
1 0.81 1.58 -0.93 -1.04
1 -0.78 -0.07 -2.88 -2.88
2 -1.14 -1.12 -0.66 -0.62
3 0.88 0.89 0.4 0.74
3 0.45 0.83 0.03 -0.15
2 -0.53 -0.39 0.04 -0.23
1 2.98 2.83 0.68 0.44
2 -2.16 -2.54 -1.16 -1.2
1 0.64 -0.66 1.2 0.99
1 2.04 0.06 0.06 -0.07
1 1.57 1.16 0.73 0.68
3 0.55 1.25 1.1 0.96
3 0.42 -0.15 0.22 0.23
1 0.28 1.18 -1.01 -0.74
3 1.09 -0.06 1.23 1.09
1 -0.35 0.3 -1.93 -2.06
2 -0.69 -0.93 -0.47 -0.62
1 1.87 0.37 -0.37 -0.14
3 -0.05 -0.6 -0.22 -0.11
3 -0.27 -0.28 1.01 1.03
3 0.48 -0.02 0.27 0
1 0.65 -0.63 0.36 0.45
2 -2.15 -1.49 -0.13 -0.01
3 -0.15 -0.63 -0.08 -0.41
2 1.08 0.05 0.69 0.69
3 0.93 1.34 1.15 1.14
2 -0.97 -1.38 -2.45 -2.34
2 -0.63 -0.57 0.64 0.51
2 -2.21 -2.29 0.48 0.27
1 1.34 0.49 -0.51 -0.34
1 -0.05 0.06 0.96 0.94
1 0.67 0.79 -0.33 -0.45
2 -0.67 -0.37 -0.2 -0.36
3 -0.13 0.53 0.82 0.89
3 0.06 1.74 1.53 1.9
3 -0.49 0.06 0.26 0.28
1 1.44 0.12 -0.4 -0.45
1 0.58 0.63 -1.13 -1.24
2 -1.96 -0.97 -0.44 -0.23
1 0.06 0.51 -0.98 -0.9
2 -2.83 -1.75 -0.28 -0.23
3 -0.84 0.33 0.36 0.43
3 -0.15 -0.87 -0.77 -0.93
3 0.69 0.92 2.55 2.74
1 0.53 0.01 0.11 0.2
1 -0.79 -0.31 1.04 1.21
1 -0.7 0.41 -2.39 -2.18
3 -0.06 0.4 0.82 0.66
2 -1.24 -0.63 -1.35 -1.27
2 -0.99 -0.27 0.94 0.89
2 -1.15 -1.14 0.32 0.47
2 -1.03 -1.8 -0.32 -0.5
3 -0.47 -0.5 1.17 1.47
3 -0.8 0.77 -0.68 -0.72
2 -0.71 -2.18 -0.62 -0.54
1 0.89 -0.03 -0.95 -1.05
3 0.32 -1.55 -0.74 -0.59
3 0.19 0.38 1.02 0.86
3 0.93 -0.67 0.37 0.49
3 -0.25 -0.43 0.92 1.08
2 -1.94 -1.65 -0.33 -0.45
2 -1.8 -1.15 0.45 0.3
2 -2.91 -1.78 0.27 0.22
1 1.66 0.85 -1.46 -1.39
2 0.17 -0.83 1.76 1.79
1 2.23 1.34 0.12 0.15
2 -1.07 -1.62 0.66 0.87
3 1.48 1.25 0.96 0.95
1 1.09 0.89 -0.04 -0.06
2 0.07 -1.47 -0.35 -0.26
3 0.49 0.83 0.81 0.97
1 0.27 0.8 -0.96 -1.13
3 0.02 -0.29 1.93 2
1 1.16 1.62 -0.27 -0.5
3 -0.75 0.24 1.63 1.67
3 1.52 2.22 1.52 1.5
2 -0.91 -1.3 0.14 0.03
1 1.95 0.47 0.63 0.5
1 0.12 -1.09 -0.94 -1.11
3 -0.1 0.75 0.34 0.31
3 0 -0.13 1.09 0.99
3 0.66 -0.91 0.2 0
3 0.46 -0.63 -0.43 -0.48
1 1.21 0.48 -0.55 -0.76
1 0.11 -0.05 -0.01 -0.06
1 1.73 0.78 1 1.13
1 0.53 -0.32 -0.44 -0.52
3 0.09 0.24 -0.23 -0.01
1 -0.36 0.26 -1.25 -1.33
3 -0.5 -0.28 0.41 0.58
3 -0.36 0.75 1.28 1.33
3 1.26 0.58 1.54 1.45
3 0.71 0.79 0.76 0.87
1 0.01 1.82 -1.97 -1.76
1 1.17 2.02 0.47 0.49
1 0.48 0.18 0.41 0.5
1 0.54 -0.25 -0.27 -0.43
1 1.58 1.29 0.09 0.25
3 -0.5 0.38 -0.96 -0.76
2 -1.22 -0.64 0.62 0.73
2 0.36 -2.01 -0.22 -0.43
3 -0.05 -1.16 -1.5 -1.63
2 -1.2 -1.45 -0.42 -0.31
3 1.27 1.35 1.25 1.47
3 -0.57 -0.53 -0.31 -0.36
3 1.34 0.73 0.63 0.83
1 2.11 2.28 0.93 0.95
2 -0.58 -0.16 -0.04 0.05
3 0.23 0.45 -0.38 -0.32
2 -0.52 -0.54 -0.5 -0.56
1 3.07 2.32 0.78 0.7
2 -1.85 -0.14 -1.04 -1.08
1 1.84 0.33 0.13 0.36
1 0.87 0.73 -0.24 -0.33
1 1.02 0.7 -2.29 -2.23
1 1.2 0.69 -1.33 -1.48
3 0.31 0.82 0.94 0.89
3 0.13 0.99 -0.22 -0.16
2 -1.21 -0.43 0.95 0.66
3 0.64 0.2 1.91 1.85
3 -0.1 -0.59 1.4 1.54
1 2.15 3.09 0.67 0.68
1 0.64 0.71 0.31 0.45
3 0.2 1.35 -0.29 -0.1
2 -1.9 -2.2 1.59 1.56
2 -1.42 -1.03 0.61 0.58
2 -1.21 -0.59 -1.11 -1.23
3 -0.43 -0.65 -0.05 -0.26
1 -0.08 -0.96 -1.88 -1.94
3 -0.06 1.25 -0.19 -0.2
1 -0.41 -0.02 -2.58 -2.59
2 0.47 -1.02 1.37 1.25
1 1.32 0.88 -0.7 -0.57
2 -0.93 -2.96 -0.49 -0.37
3 -0.61 0.47 -0.24 -0.1
3 0.86 0.74 0.68 0.55
3 0.64 1.34 0.73 0.63
2 0.27 -0.65 0.45 0.68
3 0.12 -0.92 -0.52 -0.62
1 0.01 -0.35 -1.44 -1.28
3 0.25 -1.05 -0.38 -0.4
2 -0.02 -0.77 0.35 0.2
2 -1.81 -0.69 -0.88 -0.77
3 -0.28 -0.08 -0.03 -0.11
1 0.61 -0.18 -1.19 -1.14
2 -1.41 0.38 0.08 -0.09
2 -0.9 -1.15 0.17 0.08
2 -1.67 -1.33 -0.1 -0.19
2 -0.52 -0.19 -0.29 -0.04
3 1.16 2.02 1.73 1.79
2 -0.37 -0.66 0.63 0.89
3 -0.48 -0.69 1.09 1.12
1 2.79 2.34 -0.94 -0.9
2 -1.66 -1.95 0.14 0.19
3 0.3 -0.04 1.13 1.18
1 0.82 0.41 -0.08 -0.03
3 -0.69 -0.19 -2.21 -2.03
1 1.49 0.7 0.29 0.39
1 1.17 0.32 -1.94 -1.86
3 0.08 0.02 -0.79 -0.83
2 -1.18 -0.97 1.42 1.22
3 0.33 0.27 0.57 0.66
3 0.08 -0.67 0.94 1.23
2 -1.02 -0.61 0.28 0.33
2 0.46 -0.18 -0.18 -0.04
1 0.81 0.26 -0.89 -0.96
1 -0.87 0.72 1.58 1.59
3 0.52 1.05 0.08 0.01
2 -2.8 -1.83 -0.62 -0.81
3 1.13 0.23 0.85 0.88
2 -0.93 -0.12 0.92 1.22
3 0.1 0.43 1.84 1.94
1 0.97 1.15 -0.58 -0.62
3 0.59 -0.33 -0.4 -0.38
3 0.29 -0.13 -0.42 -0.41
2 -2.46 -2.39 -0.44 -0.31
2 -1.4 -0.85 -0.4 -0.33
1 0.89 0.5 -0.25 -0.34
2 -1.35 -1.26 1.61 1.27
2 -1.1 0.9 -0.63 -0.77
3 0.65 -0.09 -0.24 -0.54
2 -0.14 -0.51 0.61 0.69
2 -0.96 -0.61 1.06 1.19
2 -1.29 -1.41 -0.78 -0.76
3 -0.05 0.53 -0.44 -0.57
2 -0.97 -2.54 0.61 0.43
2 -0.81 -0.9 0.88 1.15
3 0.43 -0.64 -0.29 -0.21
2 -0.36 -1.42 -1.54 -1.31
3 -0.43 0.13 1.78 1.63
3 0.53 1.06 1.56 1.31
3 0.12 -0.09 -0.63 -0.79
2 -0.02 0.27 -0.06 -0.07
1 1.91 1.04 -1.87 -1.64
3 -0.04 -0.17 0.54 0.6
3 0.46 0.06 1.51 1.71
2 -2.51 -1.14 -1.53 -1.74
3 -0.23 0.29 -0.87 -0.69
2 -0.59 -0.81 -0.59 -0.69
2 -0.96 -1.3 -0.7 -0.66
1 0.55 1.3 -2.13 -1.93
3 -0.01 -0.03 0.48 0.52
1 0.73 1.01 -1.38 -1.67
2 -0.52 -1.15 0.1 -0.15
2 -2.1 -2.33 0.47 0.71
1 0.16 0.14 -0.29 -0.11
3 1.3 0.44 0.82 0.96
1 2.28 2.41 0.05 -0.1
1 0.85 0.78 -0.68 -0.61
3 0.98 0.97 0.64 0.65
2 -0.51 -0.63 -0.38 -0.49
3 0.51 0.14 1.71 1.82
2 -0.1 -0.78 0.01 -0.04
3 0.51 0.27 0.88 0.83
2 -1 -1.18 0.2 0.21
1 -0.4 -0.31 -2.9 -3.1
2 -0.92 -1.77 -1.4 -1.33
1 0.27 -0.19 -0.42 -0.42
3 0.29 0.54 0.17 0.3
1 0.19 -0.09 -2.37 -2.31
2 -0.88 -0.29 0.85 1.07
3 -0.37 -0.07 -0.58 -0.62
2 -2.43 -0.6 -0.64 -0.86
3 -0.5 0.09 -1.65 -1.46
2 -1.46 -1.82 -1.52 -1.38
3 0.83 -0.86 0.05 0.06
1 0.83 2.4 0.38 0.64
1 0.71 0.59 -2.14 -2.05
1 1.07 1.66 -1.03 -0.98
1 1.17 1.33 0.46 0.61
3 -0.01 -0.6 -0.47 -0.44
2 -0.05 0.72 2.22 2.1
2 -2.05 -1.32 1.26 1.23
3 0.81 0.84 0.57 0.61
2 -1.25 -0.08 -0.02 0.03
3 0.24 1.49 0.16 0.4
2 -1.88 -1.57 -0.74 -0.67
1 0.91 1.2 0.64 0.62
2 -1.08 0.15 1.5 1.45
3 0.89 1.74 1.04 1.13
3 0 -0.04 -0.74 -0.88
3 -1.12 -0.06 -1.53 -1.7
1 0.99 -0.07 -0.1 -0.11
2 -0.85 0.74 0.35 0.53
2 -0.96 -0.19 1.27 1.42
2 -0.73 -0.92 -1.29 -1.34
1 1.81 2.63 0.39 0.33
2 -0.96 -0.79 0.26 0.21
3 0.19 0.84 1.28 1.1
3 0.06 -0.45 -0.03 -0.03
2 -0.76 -1.11 -0.43 -0.28
2 -0.97 -1.59 -1.06 -1.23
2 -1.23 -1.51 -0.58 -0.45
2 -0.49 -2.1 -0.35 -0.37
2 -1.41 -1.35 2.38 2.31
1 0.71 0.55 2.43 2.45
3 -0.81 0.37 -0.14 -0.2
1 1.71 1.97 -1.04 -1.04
1 0.95 0.21 -2.05 -1.89
3 1.55 1.49 0.47 0.56
1 1.12 -0.2 -1.14 -1.04
3 1.56 0 2.33 2.23
1 0.13 0.74 -0.8 -0.96
3 -1.15 0.41 -0.02 0.24
3 1.29 0.41 3.7 3.9
1 0.71 -0.73 -1.09 -1.12
3 1.35 0.56 0.38 0.24
2 -0.82 -0.65 -1.15 -1.06
1 1.01 0.84 0.35 0.35
1 -0.11 -0.46 -0.86 -0.88
2 -0.62 -1.02 -0.03 0.18
2 -1.63 -1.92 -0.25 -0.34
1 1.25 1.73 -1.3 -1.06
3 0.26 0.7 0.09 -0.07
2 0.07 -0.17 1.07 0.91
3 0.37 0.92 1.5 1.68
1 0.25 -0.15 -1.46 -1.28
2 -1.03 -1.38 -0.21 -0.29
2 -2.15 -1.76 1.18 1.14
3 -0.27 -0.11 -1.12 -1.1
1 -0.28 -0.3 -2.58 -2.47
2 -0.18 -1.77 -0.93 -0.94
1 0.09 0.68 -0.98 -0.95
2 -0.51 -0.07 0.05 0.04
1 1.41 0.12 -0.31 -0.49
1 0.59 1.79 0.2 0.26
2 -0.13 -1.02 -0.48 -0.36
2 -1.41 -0.2 0.34 0.41
3 0.31 -0.05 -0.39 -0.34
3 1.33 1.3 1.14 1.23
2 -1.74 -1.46 -0.71 -0.76
2 -1.14 -0.41 0.39 0.19
2 -0.52 -0.8 -0.79 -0.98
3 -0.38 1.07 0.24 0.17
1 2.24 2.15 -0.07 -0.03
3 -0.62 -0.24 -1.78 -1.58
3 0.07 -0.86 -0.21 -0.07
2 -0.98 -2.16 1.09 1.26
2 -1.24 -0.68 0.68 0.68
1 0.61 0.8 0.28 0.01
3 -0.64 -0.74 -1.29 -1.09
2 -0.03 -0.87 1.08 1.25
2 0.18 -0.83 0.06 0.1
1 0.44 -0.56 -0.48 -0.42
3 1.36 1.62 1.6 1.68
1 1.38 0.91 -0.84 -0.7
1 2.21 1.5 0.37 0.24
2 -1.07 -2.35 1.29 1.26
2 -0.77 -0.08 0.49 0.71
1 1.8 0.12 -0.33 -0.29
3 0 -0.56 -0.41 -0.43
3 0.7 -0.11 0.41 0.3
2 -1.01 -0.18 0.41 0.62
2 -1.91 -1.54 0.14 -0.1
2 -1.14 -1.09 1.2 1.43
1 1.45 2.04 -0.07 -0.06
1 -0.46 -0.02 -0.76 -0.64
3 1.21 2.09 0.48 0.59
1 0.85 0.75 -2.25 -2.15
1 1.12 0.17 0.35 0.43
3 1.27 1.72 0.45 0.54
2 -2.18 -0.75 -0.28 -0.17
3 -0.37 -0.76 -1.2 -1.02
1 -0.09 -0.48 -0.4 -0.38
2 -0.65 -1.05 1.4 1.69
3 0.01 -0.48 -0.68 -0.8
2 -3.07 -0.77 -2.36 -2.29
2 -0.58 -2.04 0.73 0.89
1 0.74 0.39 -0.55 -0.45
3 0.37 0.07 -0.62 -0.39
1 0.74 1.66 -1.34 -1.09
2 -0.14 -0.48 0.01 -0.06
2 -0.65 -0.06 0.68 0.72
1 -0.31 -0.47 -0.64 -0.53
2 -0.94 -0.83 -0.46 -0.75
3 0.23 0.22 1.12 1.07
2 -0.82 -1.35 -0.17 -0.32
3 0.44 0.48 -0.07 -0.25
3 -0.36 0.03 -0.64 -0.6
3 0.39 1.03 0.87 0.92
1 1.04 1.26 -0.95 -1.04
2 -0.57 -0.19 0.98 0.71
2 -0.02 -0.77 0.87 0.73
2 0 -0.08 -0.37 -0.56
2 -0.8 -0.41 0.87 0.83
3 1.64 1.31 1.12 0.85
2 -0.26 0.14 0.48 0.67
3 1.54 0.06 2.02 2.02
1 -0.13 0.83 -1.99 -1.93
1 1.24 1.37 -1.11 -1.22
1 0.2 -0.59 -1.37 -1.37
2 -2.71 -2.22 0.2 0.14
3 0.48 0.64 1.68 1.48
2 -0.79 -1.11 1.68 1.67
3 0.07 0.85 0.41 0.56
2 -0.51 -1.28 0.94 0.81
1 -0.72 0.55 -0.21 -0.08
2 -0.6 -0.42 0.38 0.55
2 -0.87 0.41 0.34 0.42
2 -0.93 -0.28 -0.83 -0.69
2 -0.01 -1.8 -0.23 -0.35
3 0.08 0.28 -0.17 -0.1
2 -0.35 -1.9 1.37 1.41
2 -0.36 -0.17 -0.99 -1.08
1 -0.49 -0.06 -2.23 -1.99
2 -0.79 -0.38 0.8 0.74
1 1.88 1.33 -0.8 -0.83
2 -2.09 -1.36 -0.43 -0.44
3 0.37 -0.31 0.98 0.82
2 -1.4 -0.83 -0.65 -0.87
2 -0.57 -1.91 -0.28 -0.4
3 -0.36 0.27 1.6 1.4
3 1.36 2.67 0.62 0.43
1 1.89 0.73 0.49 0.59
1 0.44 -0.1 -0.16 -0.12
2 -0.97 -0.23 -1.06 -1.2
1 1.42 2.35 -1.45 -1.53
1 -0.22 -0.22 -0.24 -0.2
2 -0.55 -1.09 2.05 1.95
2 -1.35 -1.16 0.18 0.26
3 -0.54 -0.54 0.1 0.23
1 1.59 1.48 0.31 0.36
1 1.21 0.79 -0.35 -0.42
1 0.06 0.97 -1.4 -1.39
2 -0.55 -2.47 2.72 2.62
2 -0.77 0.27 -0.4 -0.44
3 0.48 1.53 -0.32 -0.28
1 -0.38 -0.2 -1.83 -1.74
2 -0.66 -0.59 -0.23 -0.26
3 0.13 -0.03 -0.28 -0.22
2 -0.76 -0.55 -0.37 -0.14
2 -0.37 -0.28 -1.74 -1.83
3 2.13 2.29 1.77 1.79
3 0.8 0.22 1.72 1.8
3 1.09 1.21 0.69 0.69
3 -0.05 0.14 -1.13 -1.07
2 -1.06 0.22 0.79 0.63
3 -0.07 1.29 -0.28 -0.21
2 -1.52 -1.22 -0.29 -0.35
3 0.99 1.72 1.39 1.33
2 -0.89 0.48 -1.23 -1.22
2 -3.47 -2.11 -0.42 -0.6
2 -0.52 -1.08 -0.8 -0.66
2 -0.34 -0.42 0.11 -0.07
1 1.99 1.68 -1.58 -1.56
3 -0.71 0.56 -0.67 -0.73
2 -1.62 -1.11 0.58 0.85
3 -0.3 -0.23 0.33 0.6
2 -1.1 -0.56 -0.85 -1.09
2 -1.4 -1.51 0.58 0.54
1 -0.82 -0.41 -2.39 -2.46
2 -1.16 -2.26 -0.29 -0.38
1 2.68 2.27 0.73 0.69
3 0.12 0.4 -0.76 -0.56
1 0.74 0.41 -0.06 -0.02
2 -1.22 -0.9 -1.57 -1.61
1 1.61 0.78 0.94 0.75
1 0.89 0.08 -1.95 -1.75
2 -1.01 -0.73 -0.5 -0.15
3 -0.19 0 -0.34 -0.17
3 0.65 -1.39 -0.03 0.16
1 1.22 1.15 -0.75 -0.9
2 -0.54 0.23 1.78 1.87
1 1.13 0.87 -1.54 -1.31
3 0.69 0.65 0.27 0.24
3 -1.25 0.7 -2.9 -2.97
3 0.08 -0.17 0 0
2 -0.36 -1.23 0.58 0.44
3 -0.61 -0.31 -1.02 -1.14
2 -0.8 -1.77 0.65 0.75
2 -0.34 -0.44 0.34 0.32
3 0.08 -0.75 0.91 1.04
3 -0.21 -0.19 -0.73 -0.96
1 2.34 2.27 -1.02 -0.92
1 -0.06 0.33 -1.7 -1.83
2 -1.01 -1.71 -0.33 -0.31
1 0.71 1.01 -1.39 -1.28
3 0.53 -1.06 0.68 0.69
1 1.13 1.47 0.11 0.03
3 -0.19 0.29 2.17 2.2
1 1.18 1.78 -1.14 -1.17
3 0.03 -0.06 1.16 1.2
2 -0.16 -0.84 -0.49 -0.56
1 2.37 1.27 -1.29 -1.61
2 -0.99 -1.53 0.63 0.52
1 -0.48 1.27 -1.45 -1.41
2 -0.62 -1.18 -1.09 -1.01
1 1.69 0.5 -0.64 -0.82
3 0.53 0.28 0.25 0.17
2 -1.64 0.85 -0.97 -1.02
3 -0.18 -0.52 1.04 1.11
1 0.58 1.06 -1.06 -1.33
2 -1 -0.97 0.24 0.19
2 -1.07 -0.37 0.1 0.18
1 0.18 0.58 -1.14 -0.99
3 0.75 0.63 -0.36 -0.5
2 -2.1 -1.06 -0.62 -0.69
3 0.24 0.11 1.09 0.83
2 -1.28 -0.86 1.63 1.47
3 -0.43 -0.76 -1.14 -0.94
3 0.73 1.69 0.98 0.87
1 1.35 0.49 -0.14 -0.01
1 -0.16 -0.2 -1.95 -1.97
2 -2.1 0.38 -0.79 -0.72
3 -0.08 0.66 0.45 0.47
1 1.38 1.54 0.16 0.12
1 0.97 0.7 -2.37 -2.5
