X1 X2 X3 X4
0.79 -0.97 -0.83 -0.82
-0.49 -0.6 1.03 0.87
-0.37 -0.03 -0.16 -0.37
-0.35 0.49 -1.11 -1.08
1.66 2.34 -1.43 -1.63
0.93 0.26 -1.27 -1.14
-0.33 -0.03 -1.99 -1.9
1.83 0.52 -0.76 -1
-0.77 0.21 0.94 1
0.42 0.54 -0.62 -0.54
0.43 1.71 1.81 1.66
-0.22 0.04 -0.05 -0.29
-1.24 -2.26 -0.87 -1
-0.55 -0.36 -0.45 -0.11
2.06 1.38 -0.52 -0.66
0.17 -0.56 -0.41 -0.48
1.24 0.86 0.1 0.02
0.26 0.56 0.12 0.04
0.22 -0.09 0.64 0.87
-2.03 -2.82 0.54 0.54
0.55 0.77 0.84 0.71
-0.47 -0.65 0.05 0.22
-0.96 0.27 -0.93 -0.68
-0.44 -0.54 0.43 0.47
1.68 1.66 0.4 0.42
-0.45 -1.75 -0.44 -0.37
-2.52 -2.45 -0.42 -0.36
0.91 0.1 1.08 1.11
0.86 0.56 1.36 1.31
0.37 -0.71 0.03 0.2
-0.1 -0.32 -0.41 -0.37
1.15 1.86 1.68 1.61
-2.2 -1.79 -1.25 -1.23
-1.23 -0.76 -0.89 -0.93
